Chr	Row	Length	CumSum
chr1	1	248956422	248956422
chr2	1	242193529	491149951
chr3	1	198295559	689445510
chr4	2	190214555	190214555
chr5	2	181538259	371752814
chr6	2	170805979	542558793
chr7	2	159345973	701904766
chr8	3	145138636	145138636
chr9	3	138394717	283533353
chr10	3	133797422	417330775
chr11	3	135086622	552417397
chr12	3	133275309	685692706
chr13	4	114364328	114364328
chr14	4	107043718	221408046
chr15	4	101991189	323399235
chr16	4	90338345	413737580
chr17	4	83257441	496995021
chr18	4	80373285	577368306
chr19	4	58617616	635985922
chr20	4	64444167	700430089
chr21	5	46709983	46709983
chr22	5	50818468	97528451
chrX	5	156040895	253569346
chrY	5	57227415	310796761
